site_id,category,r2_score
290955098562101.0,0.0,1.0
291136099375801.0,3.0,0.9027421947143892
292505098254002.0,0.0,1.0
292556098260701.0,0.0,1.0
292618099165901.0,3.0,0.038265129353466154
292943098354404.0,3.0,0.021901706231956752
293058098110501.0,0.0,0.4768004383574125
293202099063501.0,3.0,0.004073724283261915
293252098380801.0,3.0,0.017387296218587367
293348095070604.0,3.0,0.6041462762229544
293424098134701.0,3.0,0.5411110323722623
293516098325501.0,3.0,0.14339197608052723
293610098152701.0,3.0,0.7641822596307124
294338095270402.0,2.0,0.08773127737331299
294338095270403.0,3.0,0.19959786501729704
294726095351101.0,0.0,0.024558107433340193
294726095351102.0,3.0,0.4637507165693765
294726095351104.0,2.0,0.4753276508301211
294728095200103.0,2.0,0.11710093197087401
294901095221001.0,2.0,0.876127941248878
295204099340201.0,3.0,0.08115888832544826
295443097554201.0,0.0,0.028716967515835523
295449095084101.0,3.0,0.987438699679509
295652090020101.0,2.0,0.8455745968977493
295858097521801.0,2.0,0.003815839688809941
300322093452601.0,2.0,0.8033414260898877
300824095274701.0,2.0,0.7149307111125054
300849095143301.0,3.0,0.3396056929981841
301213093191701.0,2.0,0.24051638113672924
301228095272501.0,2.0,0.028796115345882556
301237097464801.0,3.0,0.34313661389128847
301300092584503.0,3.0,0.621466183995132
301505095343702.0,2.0,0.42237689666696976
301832092234501.0,3.0,0.749312865271776
301948095290002.0,2.0,0.720246767264634
301948095290004.0,2.0,0.5563845512564394
302355088540301.0,2.0,0.09667344168022318
302406088593201.0,1.0,0.2092138565495656
302416087505501.0,1.0,0.2163250879071863
302614091083001.0,2.0,0.04640393755961214
302636091083802.0,2.0,0.8262293034082971
302636095422801.0,1.0,0.6212760393094272
302636095422803.0,1.0,0.5105932431219768
302642091083401.0,2.0,0.7503439340390987
303143095334801.0,2.0,0.08451231574810081
304120092263001.0,3.0,0.4684864023621157
304313081330001.0,0.0,1.0
304406081330502.0,0.0,1.0
304406081330503.0,0.0,0.7162940997043623
304406081330504.0,0.0,1.0
304406081330505.0,0.0,1.0
304512081343601.0,1.0,0.15796252647306963
304712084395801.0,0.0,0.20397156925781446
304756081311101.0,0.0,1.0
304806084404101.0,0.0,0.05390805004496957
304942082213801.0,3.0,0.07306601563664139
304949083165301.0,3.0,0.012600521162415168
305018093251301.0,2.0,0.758033537430919
305235084125101.0,2.0,0.03503387791581869
