,site_id,agency,latitude,longitude,state,well_depth_va,hole_depth_va,category,r2_score
1284,421948074483702,USGS,42.32994444,-74.8101667,NY,147.0,147.5,0.0,1.0
1285,422103072241102,USGS,42.35092399,-72.4025847,MA,740.0,740.0,0.0,0.5634169509445153
1286,422241073274601,USGS,42.37805556,-73.46277778,NY,360.0,360.0,1.0,0.0535666327156214
1287,422323076190301,USGS,42.38966667,-76.3175,NY,85.0,170.0,1.0,0.0376050544681247
1288,422341071464901,USGS,42.3947833,-71.77985278,MA,16.8,,0.0,0.0052907592549553
1289,422445077203301,USGS,42.41257085,-77.3422032,NY,15.0,17.4,1.0,0.0370210890802067
1290,422622073410901,USGS,42.4395833,-73.6858056,NY,29.5,29.7,1.0,0.4265392846846281
1291,422702079005101,USGS,42.45044444,-79.0142778,NY,350.0,350.0,0.0,0.9413814084718846
1292,422710076462901,USGS,42.4528501,-76.77439779,NY,26.0,27.0,0.0,0.2553493368007782
1293,422745073112001,USGS,42.46258478,-73.1884366,MA,31.5,,1.0,0.1735082485235769
1294,422812071244401,USGS,42.47011389,-71.4118806,MA,33.8,37.5,1.0,0.3465270504379453
1295,422902076475801,USGS,42.4838333,-76.7993333,NY,99.0,99.0,1.0,0.0145830420422683
1296,422906072124301,USGS,42.485075,-72.2114361,MA,39.0,39.0,0.0,0.0856134699704863
1297,422920076275301,USGS,42.48888889,-76.4647222,NY,72.0,,0.0,0.2464972375690655
1298,423035121331401,USGS,42.5095833,-121.5549444,OR,350.0,350.0,0.0,0.2780631250390036
1299,423058071025401,USGS,42.5161111,-71.0483333,MA,24.06,24.83,0.0,0.0461062043397647
1300,423115071032001,USGS,42.51674167,-71.04846389,MA,25.5,28.2,0.0,0.1147153722568616
1301,423143076582601,USGS,42.52880556,-76.974,NY,19.5,19.54,1.0,0.1349883924648385
1302,423307099494501,USGS,42.5519436,-99.8295678,NE,52.0,,,0.2656305716611917
1303,423401071093801,USGS,42.5668972,-71.1599667,MA,12.0,,1.0,0.1260271732464748
1304,423506070491401,USGS,42.585,-70.8205556,MA,21.8,21.97,1.0,0.2068611291670404
1305,423530074191701,USGS,42.5918333,-74.32138889,NY,19.5,19.85,1.0,0.4192932225467963
1306,423534073423401,USGS,42.5928579,-73.7090083,NY,79.0,80.4,2.0,0.6220652354775082
1307,423743078070802,USGS,42.62867339,-78.1186201,NY,20.3,21.0,1.0,0.0796657765871774
1308,423827076035901,USGS,42.6408333,-76.06638889,NY,37.2,37.2,1.0,0.4783640210530105
1309,424017074301501,USGS,42.6713611,-74.5041667,NY,148.0,148.0,,0.3471151349024221
1310,424115073495301,USGS,42.6874722,-73.83138889,NY,28.8,,1.0,0.6136078902694715
1311,424136075025101,USGS,42.69340779,-75.04710349,NY,15.0,15.0,0.0,0.0971980258051063
1312,424158076251901,USGS,42.69952778,-76.4216111,NY,28.0,34.0,0.0,0.0653362497860758
1313,424311073423901,USGS,42.71980556,-73.71088889,NY,46.0,46.0,0.0,0.7536369855218833
1314,424347076530201,USGS,42.7297222,-76.88388889,NY,3.5,3.5,0.0,0.4877344877345018
1315,424347076530202,USGS,42.7297222,-76.88388889,NY,56.6,,0.0,0.1184146407493715
1316,424452076081902,USGS,42.74777778,-76.1386111,NY,25.0,30.0,0.0,0.0365444440164641
1317,424520070562401,USGS,42.7553722,-70.93948889,MA,19.8,,0.0,0.1077024192757486
1318,424837099425201,USGS,42.81027777,-99.7148384,NE,240.0,,2.0,0.8322274469374141
1319,424841071004101,USGS,42.81160556,-71.0116222,MA,15.1,,0.0,0.0432812954055721
1320,424859073585501,USGS,42.81638889,-73.9819444,NY,25.0,25.0,1.0,0.0843905141032734
1321,425024071413001,USGS,42.84008596,-71.6911839,NH,15.0,,1.0,0.1668929685871842
